"(Tipo documental) 
Norma - Función o Proceso","(Tipo documental) 
Código del Procedimiento","(Tipo documental)  
Código del Formato","(Tipo documental) 
Nombre del registro o documento de archivo","(Tipo documental) 
Definición","(Tipo documental) 
IDIOMA","Soporte
Análogo","Soporte
Digital","Soporte
Electrónico",Descripción del Soporte,"Origen
Interno","Origen
Externo","(Clasificación documental)
Localización del documento o registro","(Clasificación documental)
Cuenta con clasificación
SI / NO","(Clasificación documental)
Serie","(Clasificación documental) 
Subserie","(Clasificación documental)
Unidad Administrativa Responsable - Dependencia"
"ASESORÍA Y ACOMPAÑAMIENTO DE LA
OFICINA DE CONTROL INTERNO",P-CI-003,N/A,N/A,N/A,Español,,,,N/A,X,,Archivo de Gestión de la Oficina de Control Interno,NO,NO ESTABLECIDA,NO ESTABLECIDA,Oficina de Control Interno
"ATENCIÓN DE QUEJAS - SUGERENCIAS - RECLAMOS - DERECHOS
DE PETICIÓN Y SOLICITUDES DE LOS ENTES DE CONTROL",P-CI-004,N/A,N/A,N/A,Español,,,,N/A,X,,Archivo de Gestión de la Oficina de Control Interno,NO,NO ESTABLECIDA,NO ESTABLECIDA,Oficina de Control Interno
"ATENCIÓN DE VISITAS ADMINISTRATIVAS DE LOS ENTES DE
CONTROL",P-CI-005,N/A,N/A,N/A,Español,,,,N/A,X,,Archivo de Gestión de la Oficina de Control Interno,SI,AUDITORIAS,Auditorías Externas,Oficina de Control Interno
"EJECUCION DE ACTIVIDADES DE CUMPLIMIENTO
EN MATERIA DE CONTROL INTERNO",P-CI-006,N/A,N/A,N/A,Español,,,,N/A,X,,Archivo de Gestión de la Oficina de Control Interno,NO,NO ESTABLECIDA,Auditorías Externas,Oficina de Control Interno
CONTROL DE DOCUMENTOS,P-OP-001,R-OP-001, Elaboración Documentos Oficiales del Sistema Integrado de Gestión,Documento en el cuál se consigna el contenido de los documentos que conforman o conformarán el sistema Integrado de Gestión de la Entidad.,Español,X,,,Papel  y Documento Electrónico,X,,Archivo de Gestión Oficina Asesora de Planeación,SI,INSTRUMENTOS DE CONTROL,Instrumentos de Control del SIG,Oficina Asesora de Planeación
CONTROL DE NO CONFORMES,P-OP-002,N/A,N/A,N/A,Español,,,,N/A,,,N/A,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación
COMUNICACIÓN DEL SIG,P-OP-003,N/A,N/A,N/A,Español,,,,N/A,,,N/A,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación
CONTROL OPERACIONAL DEL SIG,P-OP-004,R-OP-008,Matriz de Control Operacional,Documento de apoyo en el que se registra el conjunto de acciones tendientes a mantener bajo condiciones controladas las características de calidad - ambientales y de seguridad y salud con el fin de garantizar la calidad del servicio - el cuidado del medio ambiente y la seguridad y salud de las personas.,Español,,,X,Documento Electrónico,X,,Archivo de Gestión Oficina Asesora de Planeación,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación
SEGUIMIENTO Y MEDICIÓN,P-OP-005,R-OP-008,Matriz de Control Operacional,Documento de apoyo en el que se registra el conjunto de acciones tendientes a mantener bajo condiciones controladas las características de calidad - ambientales y de seguridad y salud con el fin de garantizar la calidad del servicio - el cuidado del medio ambiente y la seguridad y salud de las personas.,Español,,,X,Documento Electrónico,X,,Archivo de Gestión Oficina Asesora de Planeación,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación
SEGUIMIENTO Y MEDICIÓN,P-OP-005,R-OP-010,Matriz de Identificación de Aspectos Ambientales / Peligros Significativos,Registro para la identificación y valoración de impactos ambientales y peligros de las actividades de las entidades del Distrito,Español,,,X,Documento Electrónico,X,,Archivo de Gestión Oficina Asesora de Planeación,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación
TOMA DE CONCIENCIA ,P-OP-006,N/A,N/A,N/A,Español,,,,N/A,,,N/A,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación
GESTIÓN DEL CAMBIO,P-OP-007,N/A,N/A,N/A,Español,,,,N/A,,,N/A,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación
CALIBRACIÓN DE EQUIPOS,P-OP-008,R-OP-011,N/A,N/A,Español,,,,N/A,,,N/A,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación
IDENTIFICACIÓN Y EVALUACIÓN DE REQUISITOS LEGALES,P-OP-009,R-OP-009 ,Matriz de Requisitos Legales,Documento de Apoyo que contiene todos los requisitos legales aplicables al medio ambiente y la seguridad y salud ocupacional.,Español,,,X,Documento Electrónico,X,,Archivo de Gestión Oficina Asesora de Planeación,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación
IDENTIFICACIÓN DE ASPECTOS Y PELIGROS,P-OP-010,R-OP-008,Matriz de Control Operacional,Documento de apoyo en el que se registra el conjunto de acciones tendientes a mantener bajo condiciones controladas las características de calidad - ambientales y de seguridad y salud con el fin de garantizar la calidad del servicio - el cuidado del medio ambiente y la seguridad y salud de las personas.,Español,,,X,Documento Electrónico,,,Archivo de Gestión Oficina Asesora de Planeación,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación
IDENTIFICACIÓN DE ASPECTOS Y PELIGROS,P-OP-010,R-OP-010,Matriz de Identificación de Aspectos Ambientales / Peligros Significativos,Listado de aspectos y peligros significativos ,Español,,,x,Documento Electrónico,X,,Red interna de comunicación Transmitiendo,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación
"GESTION DE RESIDUOS EN LAS AREAS ADMINISTRADAS POR
TRANSMILENIO S.A.",P-OP-011,R-OP-018, Articulación Acuerdo de Corresponsabilidad,Convenio suscrito con una organización de recicladores inscrita y debidamente avalada por la Unidad Administrativa Especial de Servicios Públicos para la recolección y gestión de los residuos reciclables generados en la Entidad.,Español,X,,,Papel  y Documento Electrónico,X,,Dirección Administrativa . Apoyo Logístico,NO,SIN ESTABLECER,SIN ESTABLECER,Dirección Administrativa . Apoyo Logístico
"GESTION DE RESIDUOS EN LAS AREAS ADMINISTRADAS POR
TRANSMILENIO S.A.",P-OP-011,R-OP-019,Reporte Información PIGA,Contiene los datos derivados de las actividades de capacitación - sensibilización y/o divulgación adelantadas en la temática de gestión de residuos a funcionarios y contratistas.,Español,X,,,Papel  y Documento Electrónico,X,,Archivo de Gestión Oficina Asesora de Planeación,SI,ACTAS,Actas de Comité PIGA,Oficina Asesora de Planeación
REVISIÓN INFORME DE DESEMPEÑO AMBIENTAL,P-OP-012,R-OP-020,Informe de Desempeño Ambiental,Contiene el esquema de reporte establecido por los operadores concesionarios.,Español,,,X,Documento Electrónico,,X,Carpeta en serverseg Oficina Asesora de Planeación – Gestión Ambiental,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación - Gestión Ambiental
"VERIFICACIÓN Y SEGUIMIENTO EN ASPECTOS AMBIENTALES A
LOS CONCESIONARIOS DEL SISTEMA INTEGRADO DE
TRANSPORTE PÚBLICO – SITP",P-OP-013,R-OP-021 ,Acta de visita,Contiene los resultados - hallazgos y observaciones de las visitas para auditoría Ambiental realizadas a los concesionarios ,Español,,,,Papel   ,X,,"Carpeta en serverseg Oficina
Asesora de Planeación –
Gestión Ambiental",NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación - Gestión Ambiental
"VERIFICACIÓN Y SEGUIMIENTO EN ASPECTOS AMBIENTALES A
LOS CONCESIONARIOS DEL SISTEMA INTEGRADO DE
TRANSPORTE PÚBLICO – SITP",P-OP-013,R-OP-022,Lista de verificación,Registro de los resultados de la evaluación ,Español,X,,X,Papel ,X,,"Carpeta en serverseg Oficina
Asesora de Planeación –
Gestión Ambiental",NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación - Gestión Ambiental
"VERIFICACIÓN Y SEGUIMIENTO EN ASPECTOS AMBIENTALES A
LOS CONCESIONARIOS DEL SISTEMA INTEGRADO DE
TRANSPORTE PÚBLICO – SITP",P-OP-013,R-OP-023,Informe de visita ambiental,Registro de los detalles de los hallazgos resultantes de la verificación frente a los requisitos o ítems evaluados.,Español,,,X,Documento Electrónico,X,,"Carpeta en serverseg Oficina
Asesora de Planeación –
Gestión Ambiental",NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación - Gestión Ambiental
FORMULACIÓN Y SEGUIMIENTO A PROYECTOS DE INVERSIÓN,P-OP-015,N/A,N/A,N/A,Español,,,,,,,Archivo de Gestión Oficina Asesora de Planeación,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación 
AUDITORÍA INTERNA AL SISTEMA INTEGRADO DE GESTIÓN,P-OP-016,"R-OP-027
",Reporte de Hallazgos de Auditoría,Documento en el que se consigna el análisis detallado de los hallazgos y observaciones realizadas durante las auditorías internas del SIG. ,Español,X,,,Papel ,X,,Archivo de Gestión Oficina Asesora de Planeación,SI,PLANES,Plan de Auditorías al SIG,Oficina Asesora de Planeación
AUDITORÍA INTERNA AL SISTEMA INTEGRADO DE GESTIÓN,P-OP-016,"R-OP-027
",Reporte de Hallazgos de Auditoría,Documento en el que se consigna el análisis detallado de los hallazgos y observaciones realizadas durante las auditorías internas del SIG. ,Español,x,,,,X,,Archivo de Gestión Oficina Asesora de Planeación,SI,INFORMES,Informes de Auditoría al SIG,Oficina Asesora de Planeación
"ACCIONES CORRECTIVAS - PREVENTIVAS Y DE MEJORA DEL
SISTEMA INTEGRADO DE GESTIÓN",P-OP-017,"R-OP-025
",Acciones correctivas y preventivas,Documento descriptivo de un plan de acción ante una hallazgo de auditoria,Español,,,,,X,,Archivo de Gestión Oficina Asesora de Planeación,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación 
"ACCIONES CORRECTIVAS - PREVENTIVAS Y DE MEJORA DEL
SISTEMA INTEGRADO DE GESTIÓN",P-OP-017,"R-OP-026
",Acción de Mejora,Acción inmediata - emprendida para hacer una corrección - reproceso o ajuste con el fin de eliminar una no conformidad o problema detectado.,Español,,,x,Documento Electrónico,X,,Archivo de Gestión Oficina Asesora de Planeación,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación 
"ELABORACIÓN - MODIFICACIÓN Y SEGUIMIENTO DEL PLAN
DE ACCIÓN INSTITUCIONAL",P-OP-018,R-OP-007-1,Solicitud de Modificación al Plan Anual de Adquisiciones,Contiene las modificaciones al plan anual de adquisiciones  solicitas por los jefes de cada dependencia.,Español,X,,,Papel  ,X,,Archivo de Gestión Oficina Asesora de Planeación,NO,SIN ESTABLECER,SIN ESTABLECER,Oficina Asesora de Planeación 
RESOLUCIÓN No. 304 de 2012,P-SG-001,N/A,Auto de Cargos,Comunicación mediante la cual se formulan cargos al investigado,Español,X,,,,,X,Subgerencia General,SI,PROCESOS DISCIPLINARIOS,Proceso Disciplinario Ordinario / Verbal ,Subgerencia General
RESOLUCIÓN No. 304 de 2012,P-SG-001,R-DA-005,Comunicación Oficial Externa ,Comunicación mediante la cual se informan los cargos al investigado,Español,X,,,PAPEL,,X,Subgerencia General,SI,PROCESOS DISCIPLINARIOS,Proceso Disciplinario Ordinario / Verbal ,Subgerencia General
RESOLUCIÓN No. 304 de 2012,P-SG-001,N/A,Pruebas ( Cuando proceda),Documentos requeridos para resolver la Investigación.,Español,X,,,PAPEL,X,,Subgerencia General,SI,PROCESOS DISCIPLINARIOS,Proceso Disciplinario Ordinario / Verbal ,Subgerencia General
RESOLUCIÓN No. 304 de 2012,P-SG-001,N/A,Auto de nombramiento del defensor de oficio,Documento mediante el cual se nombra un defensor de oficio,Español,X,,,PAPEL,X,,Subgerencia General,SI,PROCESOS DISCIPLINARIOS,Proceso Disciplinario Ordinario / Verbal ,Subgerencia General
RESOLUCIÓN No. 304 de 2012,P-SG-001,N/A,Auto de Citación a Audiencia,Comunicación mediante la cual se cita al investigado a audiencia.,Español,X,,,PAPEL,X,,Subgerencia General,SI,PROCESOS DISCIPLINARIOS,Proceso Disciplinario Ordinario / Verbal ,Subgerencia General
RESOLUCIÓN No. 304 de 2012,P-SG-001,N/A,Auto que resuelva la Procedencia del recurso (En caso de haberse interpuesto un recurso de negación de pruebas).,Documento mediante el cual se define si se concede o no el recurso interpuesto.,Español,X,,,PAPEL,X,,Subgerencia General,SI,PROCESOS DISCIPLINARIOS,Proceso Disciplinario Ordinario / Verbal ,Subgerencia General
RESOLUCIÓN No. 304 de 2012,P-SG-001,N/A,Comunicación oficial Externa ( cuando proceda),Notificación de segunda instancia mediante la cual se resuelven las pruebas,Español,X,,,PAPEL,X,,Subgerencia General,SI,PROCESOS DISCIPLINARIOS,Proceso Disciplinario Ordinario / Verbal ,Subgerencia General
RESOLUCIÓN No. 304 de 2012,P-SG-001,N/A,Auto para alegar conclusión,Documento que permite apelar la conclusión de continuar con el proceso.,Español,X,,,PAPEL,X,,Subgerencia General,SI,PROCESOS DISCIPLINARIOS,Proceso Disciplinario Ordinario / Verbal ,Subgerencia General
RESOLUCIÓN No. 304 de 2012,P-SG-001,N/A,Auto que resuelva la Procedencia del recurso ,Documento mediante el cual se define si se concede o no el recurso interpuesto.,Español,X,,,PAPEL,X,,Subgerencia General,SI,PROCESOS DISCIPLINARIOS,Proceso Disciplinario Ordinario / Verbal ,Subgerencia General
RESOLUCIÓN No. 304 de 2012,P-SG-001,N/A,Auto de Cumplimiento,Documento que ordena obedecer y cumplir lo resuelto en segunda instancia,Español,X,,,PAPEL,X,,Subgerencia General,SI,PROCESOS DISCIPLINARIOS,Proceso Disciplinario Ordinario / Verbal ,Subgerencia General
RESOLUCIÓN No. 304 de 2012,P-SG-001,N/A,Acto Administrativo,Documento mediante el cual se hace efectiva la sanción,Español,X,,,PAPEL,X,,Subgerencia General,SI,PROCESOS DISCIPLINARIOS,Proceso Disciplinario Ordinario / Verbal ,Subgerencia General
RESOLUCIÓN No. 304 de 2012,P-SG-001,R-SG-015,Acto de cierre de la Investigación Disciplinaria,Registro mediante el cual se cierra la investigación.,Español,X,,,PAPEL,X,,Subgerencia General,SI,PROCESOS DISCIPLINARIOS,Proceso Disciplinario Ordinario / Verbal ,Subgerencia General
SELECCIÓN Y VINCULACIÓN POR COMPETENCIAS,P-DA-001,R-DA-019,Constancia de Existencia de Presupuesto,contiene la constancia de existencia de recursos suficientes para el pago de salarios y prestaciones sociales durante la vigencia - es firmada por el subgerente Económico o responsable del presupuesto.,Español,X,,,Papel,,X,Archivo de gestión oficina Dirección Administrativa,SI,CONVOCATORIAS DE SELECCIÓN DE PERSONAL                       ,Convocatorias Internas,Dirección Administrativa - Talento Humano
SELECCIÓN Y VINCULACIÓN POR COMPETENCIAS,P-DA-001,N/A,Formato Único de Hoja de Vida,Formato establecido de hoja de vida para servidores públicos - contiene información personal - profesional y laboral del funcionario.,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa - talento humano,SI,CONVOCATORIAS DE SELECCIÓN DE PERSONAL                       ,Convocatorias Mixtas,Dirección Administrativa - Talento Humano
SELECCIÓN Y VINCULACIÓN POR COMPETENCIAS,P-DA-001,R-DA-020,Formato de Información Personal,Contiene los datos personales del aspirante al cargo vacante.,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa - talento humano,SI,CONVOCATORIAS DE SELECCIÓN DE PERSONAL                       ,Convocatorias Privadas,Dirección Administrativa - Talento Humano
SELECCIÓN Y VINCULACIÓN POR COMPETENCIAS,P-DA-001,R-DA-021,Constancia de cumplimiento de requisitos legales,Verificación de requisitos legales exigidos al aspirante para la aplicación al cargo. ,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa - talento humano,SI,CONVOCATORIAS DE SELECCIÓN DE PERSONAL                       ,Convocatorias Públicas,Dirección Administrativa - Talento Humano
SELECCIÓN Y VINCULACIÓN POR COMPETENCIAS,P-DA-001,R-DA-022,Formato Guía de entrevista,Contiene el paso a paso para el desarrollo de la entrevista realizada al aspirante,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa - talento humano,SI,CONVOCATORIAS DE SELECCIÓN DE PERSONAL                       ,Historias Laborales,Dirección Administrativa - Talento Humano
SELECCIÓN Y VINCULACIÓN POR COMPETENCIAS,P-DA-001,R-DA-023,Formato Informe de Visita Domiciliaria,Contiene las observaciones y conclusiones resultantes de las visitas domiciliarias realizadas a los aspirantes al cargo.,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa - talento humano,SI,CONVOCATORIAS DE SELECCIÓN DE PERSONAL                       ,Historias Laborales,Dirección Administrativa - Talento Humano
SELECCIÓN Y VINCULACIÓN POR COMPETENCIAS,P-DA-001,R-DA-024,"Ubicación y Entrenamiento
del Servidor público en el Puesto de Trabajo",Contiene las indicaciones y el paso a paso para llevar a cabo la capacitación del nuevo servidor público en su puesto de trabajo - entrega de elementos requeridos para el buen desarrollo de sus funciones.,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa - talento humano,SI,HISTORIAS,Historias Laborales,Dirección Administrativa - Talento Humano
SELECCIÓN Y VINCULACIÓN POR COMPETENCIAS,P-DA-001,R-DA-025,"Formulario de Evaluación
para los Trabajadores Oficiales en Periodo de Prueba",Contiene las observaciones sobre el desempeño del nuevo trabajador oficial durante el periodo de prueba.,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa - talento humano,SI,HISTORIAS,Historias Laborales,Dirección Administrativa - Talento Humano
"NOTIFICACIÓN - REPORTE - INVESTIGACIÓN Y SEGUIMIENTO DE
ACCIDENTES DE TRABAJO",P-DA-002,R-DA-001,"Informe de investigación de
accidente o incidente de trabajo",Contiene los detalles sobre el desarrollo de un accidente o incidente de trabajo: Victima - ,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa - talento humano,SI,ACTAS,Actas de Comité Paritario de Salud Ocupacional,Dirección Administrativa - Talento Humano
"NOTIFICACIÓN - REPORTE - INVESTIGACIÓN Y SEGUIMIENTO DE
ACCIDENTES DE TRABAJO",P-DA-002,N/A,"Reporte de accidente o incidente
de trabajo en el aplicativo diseñado
por la ARL - para registrar los
eventos presentados en
TRANSMILENIO S.A.",Contiene la información requerida por la ARL para el registro de un accidente o incidente presentado en Transmilenio S.A. Datos personales del empleado y todos los detalles sobre el accidente o incidente: Lugar - hora - fecha - condiciones - grado de complejidad o potencial de pérdida determinado por el profesional especializado de talento humano,Español,,,X,Electrónico,,X,Página web de la ARL,NO,ACTAS,Actas de Comité Paritario de Salud Ocupacional,Dirección Administrativa - Talento Humano
"SOLICITUD - AUTORIZACIÓN - RECONOCIMIENTO Y PAGO DE
HORAS EXTRAS Y COMPENSATORIOS",P-DA-003,R-DA-003,Formato de Autorización Previa de Horas Extras y Días Compensatorios,Contiene la aprobación por parte del jefe inmediato de las horas extras y días compensatorios a justificar.,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa - talento humano,NO,HISTORIAS,Historias Laborales,Dirección Administrativa - Talento Humano
"SOLICITUD - AUTORIZACIÓN - RECONOCIMIENTO Y PAGO DE
HORAS EXTRAS Y COMPENSATORIOS",P-DA-003,R-DA-004,Formato de Liquidación de Horas Extras,registro del total de horas extras a compensar con el visto bueno del responsable de Talento Humano.,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa - talento humano,NO,HISTORIAS,Historias Laborales,Dirección Administrativa - Talento Humano
"RECLAMACIONES DE SEGUROS
ANTE OCURRENCIA DE SINIESTROS",P-DA-004,N/A,N/A,N/A,Español,,,,N/A,,,Archivo de gestión oficina Dirección Administrativa,NO,CONTRATOS,SIN ESTABLECER,Dirección Administrativa - Subgerencia Jurídica
MANEJO DE CAJA MENOR,P-DA-005,R-DA-002,Solicitud de trámite para servicios de transporte,Documento que contiene los datos de quién solicita el servicio - quién lo aprueba - motivo por el cuál se solicita - salida y destino.,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa,NO,COMPROBANTES,Comprobantes de Egreso, Dirección Administrativa- Apoyo Logístico - Subgerencia Económica
MANEJO DE CAJA MENOR,P-DA-005,R-DA-014,Solicitud de Gasto por Caja Menor,Documento que contiene los datos de quien solicita un gasto por caja menor - justificación del gasto y firmas de aprobación.,Español,X,,,Papel,X,,Archivo de gestión oficina Dirección Administrativa,NO,SIN ESTABLECER,SIN ESTABLECER, Dirección Administrativa- Apoyo Logístico - Subgerencia Económica
MANEJO DE CAJA MENOR,P-DA-005,N/A,Comprobante de Gasto por Caja Menor,Datos básicos del proveedor - monto y concepto - firmas del beneficiario - responsable de caja menor y ordenador del gasto - rubro presupuestal y cuentas contables que afecte el gasto.,Español,X,,X,Papel y Documento Electrónico,X,,Archivo de gestión oficina Dirección Administrativa -SISTEMA ADMINISTRATIVO Y FINANCIERO (SIAF),NO,SIN ESTABLECER,SIN ESTABLECER, Dirección Administrativa- Apoyo Logístico - Subgerencia Económica
MANEJO DE CAJA MENOR,P-DA-005,N/A,Reposición de Caja Menor,Documento que contiene el valor a reembolsar correspondiente a los gastos del mes.,Español,X,,X,Papel y Documento Electrónico,X,,Archivo de gestión oficina Dirección Administrativa -SISTEMA ADMINISTRATIVO Y FINANCIERO (SIAF),NO,SIN ESTABLECER,SIN ESTABLECER, Dirección Administrativa- Apoyo Logístico - Subgerencia Económica
MANEJO DE CAJA MENOR,P-DA-005,N/A,Reporte de Caja Menor por Movimientos,Detalle de todas las afectaciones contables que se generan a través de los gastos del mes.,Español,X,,X,Papel y Documento Electrónico,X,,Archivo de gestión oficina Dirección Administrativa -SISTEMA ADMINISTRATIVO Y FINANCIERO (SIAF),NO,SIN ESTABLECER,SIN ESTABLECER, Dirección Administrativa- Apoyo Logístico - Subgerencia Económica
MANEJO DE CAJA MENOR,P-DA-005,N/A,Movimiento de Caja Menor por Rubros,Detalle de todas las afectaciones presupuestales que se generan a través de los gastos del mes.,Español,X,,X,Papel y Documento Electrónico,X,,Archivo de gestión oficina Dirección Administrativa -SISTEMA ADMINISTRATIVO Y FINANCIERO (SIAF),NO,SIN ESTABLECER,SIN ESTABLECER, Dirección Administrativa- Apoyo Logístico - Subgerencia Económica
MANEJO DE CAJA MENOR,P-DA-005,N/A,Órdenes de Pago,Documento que se elabora para autorizar y legalizar el retiro del dinero de la cuenta bancaria destinada para el fondo de caja menor. Utilizando el mismo consecutivo utilizado en la Subgerencia Económica.,Español,X,,X,Papel y Documento Electrónico,X,,Archivo de gestión oficina Dirección Administrativa -SISTEMA ADMINISTRATIVO Y FINANCIERO (SIAF),NO,SIN ESTABLECER,SIN ESTABLECER, Dirección Administrativa- Apoyo Logístico - Subgerencia Económica
MANEJO DE CAJA MENOR,P-DA-005,N/A,Comprobante de Egreso,Documento que se elabora una vez se requiera efectuar el retiro de dinero de la cuenta bancaria destinada para el fondo de caja menor. Utilizando el mismo consecutivo que lleva la Subgerencia Económica.,Español,X,,X,Papel y Documento Electrónico,X,,Archivo de gestión oficina Dirección Administrativa -SISTEMA ADMINISTRATIVO Y FINANCIERO (SIAF),NO,SIN ESTABLECER,SIN ESTABLECER, Dirección Administrativa- Apoyo Logístico - Subgerencia Económica
"SOLICITUD - TRÁMITE Y LEGALIZACIÓN DE COMISIONES DE
SERVICIOS O ESTUDIOS",P-DA-006,R-DA-030,Solicitud de Comisión,Contiene la información sobre invitaciones espontaneas de entidades y/o organismos nacionales y/o internacionales. No está permitido a los servidores públicos de TRANSMILENIO S.A. el trámite de solicitudes de invitación a eventos a nombre propio y/o a nombre de la entidad. TRANSMILENIO S.A. podrá solicitar información adicional a los organizadores del evento - para validar la información sobre dicha convocatoria.,Español,X,,X,Papel y Documento Electrónico,X,,Archivo de gestión oficina Dirección Administrativa,SI,COMISIONES DE SERVICIOS Y/O ESTUDIOS,SIN ESTABLECER,Dirección Administrativa - Talento Humano
